position,so_far,food_category,generated_note_name_291,generated_note_name_292,generated_note_name_293,generated_note_name_294,generated_note_name_295,generated_note_name_296,generated_note_name_297,generated_note_name_298,generated_note_name_299,generated_note_name_300,generated_note_name_301,generated_note_name_302,generated_note_name_303,generated_note_name_304,generated_note_name_305,generated_note_name_306,generated_note_name_307,generated_note_name_308,generated_note_name_309,generated_note_name_310,generated_note_name_311,generated_note_name_312,child_children_upto_59_months_yesterday,child_children_up_to_7_days,mother_to_the_child_children_yesterday,mother_to_child_children_upto_7_days,PARENT_KEY,KEY
20,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_out,Beverages,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa/sclamp/DIEATRY_DIVERSITY_SCORE[20]
21,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_,Savoury_and_fried_snacks,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa/sclamp/DIEATRY_DIVERSITY_SCORE[21]
22,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks ,Meal_outside_home,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa/sclamp/DIEATRY_DIVERSITY_SCORE[22]
1,~,Cereals,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[1]
2,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_sna,Tubers_and_Vegetables,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[2]
3,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_sn,White_tubers_and_roots,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[3]
4,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fri,Dark_green_leafy_vegetables,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[4]
5,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_ou,Vegetables,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[5]
6,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Fruits,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[6]
7,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_,Other_fruits,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[7]
8,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_ou,Organ_meat,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[8]
9,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_ou,Flesh_meat,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[9]
10,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outside_,Fish,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[10]
11,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Pulses,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[11]
12,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Pulses,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[12]
13,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outside_,Fish,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[13]
14,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal,Milk_Products,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[14]
15,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal,Oils_and_fats,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[15]
16,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks ,Red_palm_products,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[16]
17,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Sweets,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[17]
18,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried,Sugar_sweetened_beverages,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[18]
19,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried,Condiments_and_seasonings,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[19]
20,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_out,Beverages,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[20]
21,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_,Savoury_and_fried_snacks,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[21]
22,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Fish Pulses Pulses Fish Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks ,Meal_outside_home,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/DIEATRY_DIVERSITY_SCORE[22]
1,~,Cereals,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[1]
2,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_sna,Tubers_and_Vegetables,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[2]
3,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_sn,White_tubers_and_roots,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[3]
4,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fri,Dark_green_leafy_vegetables,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[4]
5,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_ou,Vegetables,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[5]
6,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Fruits,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[6]
7,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_,Other_fruits,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[7]
8,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_ou,Organ_meat,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[8]
9,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_ou,Flesh_meat,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[9]
10,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outside_,Eggs,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,Yes,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[10]
11,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outside_,Fish,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[11]
12,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Pulses,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[12]
13,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Mea,Nuts_and_seeds,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[13]
14,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal,Milk_Products,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[14]
15,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal,Oils_and_fats,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[15]
16,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks ,Red_palm_products,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[16]
17,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_outsid,Sweets,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[17]
18,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried,Sugar_sweetened_beverages,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[18]
19,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried,Condiments_and_seasonings,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[19]
20,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks Meal_out,Beverages,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[20]
21,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_,Savoury_and_fried_snacks,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[21]
22,Cereals Tubers_and_Vegetables White_tubers_and_roots Dark_green_leafy_vegetables Vegetables Fruits Other_fruits Organ_meat Flesh_meat Eggs Fish Pulses Nuts_and_seeds Milk_Products Oils_and_fats Red_palm_products Sweets Sugar_sweetened_beverages Condiments_and_seasonings Beverages Savoury_and_fried_snacks ,Meal_outside_home,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1,uuid:0574c709-bb20-4581-8cc1-4e9e1f95dbd1/sclamp/DIEATRY_DIVERSITY_SCORE[22]
1,~,Cereals,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,uuid:ee296227-d961-4726-a964-236b30ff4b58,uuid:ee296227-d961-4726-a964-236b30ff4b58/sclamp/DIEATRY_DIVERSITY_SCORE[1]
