other_constraints_for_maize_production_Aug_Sept_2020,other_constraints_Aug_Sept_2020,level_of_severity_maize_production_Aug_Sept_2020,PARENT_KEY,KEY
Drought,,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Did not weed adequate,High,uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:d394be21-da52-4a1d-8b99-1d236c40d072/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
other,Thieves,High,uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Top much congestion in the garden due to inter cropping,High,uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
other,Other plants congestion due to inter cropping with cassava,Medium,uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:70e9b71c-5419-4c1b-80af-5996633daaf1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/other_constraints_maize_production[1]
,,High,uuid:ceadf86c-a040-4eac-9ab0-56fc4b9352cd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ceadf86c-a040-4eac-9ab0-56fc4b9352cd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:5f7c94f8-ab1d-474f-8970-8054d1f507bc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5f7c94f8-ab1d-474f-8970-8054d1f507bc/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Low,uuid:837e9c33-931e-49a9-a9a0-f9fcfa69a0ce/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:837e9c33-931e-49a9-a9a0-f9fcfa69a0ce/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:38c6d19f-7251-44ba-956e-b2c8f26b6631/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:38c6d19f-7251-44ba-956e-b2c8f26b6631/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Termites,High,uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6f5d5f3c-02f6-4401-8c83-fc146b370346/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Drought,,High,uuid:2ec6dfb6-70a6-4eb3-b236-a476fd0957a5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:2ec6dfb6-70a6-4eb3-b236-a476fd0957a5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
,,Low,uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c46fb1a7-8005-4bda-bd14-3c2c8627f3ab/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:1c9ae9ae-fc95-4bc7-9140-1ca04b1d2e27/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:1c9ae9ae-fc95-4bc7-9140-1ca04b1d2e27/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Low,uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:58225dc1-7aaf-4473-b2c6-9d6974a5d13f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
,,Low,uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fe59bec3-195c-4326-b4d7-4b76831d6f2c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5ae5de58-3272-4966-950a-79d4527fd7d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Termites,High,uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Drought,,High,uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
other,Termites,High,uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:4a751ffc-435f-49d7-a944-96491220b319/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[2]
Drought,,Medium,uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fc04161f-6c14-4561-991d-9f7e796089df/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:06d89973-abf7-47fe-9a69-29e068f2b15c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Hail storms,High,uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5b2febc5-a919-431f-8338-d0d2c2b3e5fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Drought,,High,uuid:98195436-2c7b-47a3-811c-62ab8ae458b5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:98195436-2c7b-47a3-811c-62ab8ae458b5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:98195436-2c7b-47a3-811c-62ab8ae458b5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:98195436-2c7b-47a3-811c-62ab8ae458b5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Soil_fertility_exhaustion_,,High,uuid:f5d32b35-4090-434b-ba40-394e688fedaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f5d32b35-4090-434b-ba40-394e688fedaf/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:3d2c54bf-549b-4f70-87b2-c7cbc84c7297/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:3d2c54bf-549b-4f70-87b2-c7cbc84c7297/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:c557ee51-806f-4fb5-a7c9-fc11f34a1f2d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c557ee51-806f-4fb5-a7c9-fc11f34a1f2d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:7b2d4946-6b0a-484e-bd9a-400ac1b853a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:7b2d4946-6b0a-484e-bd9a-400ac1b853a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:0b95fa58-f01b-42b5-a393-94dcd76e6de6/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0b95fa58-f01b-42b5-a393-94dcd76e6de6/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:8874aac8-aee7-4b45-bec2-5ed795044149/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8874aac8-aee7-4b45-bec2-5ed795044149/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:7e147c61-6742-4dee-90c5-c1bdd7d0414b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:7e147c61-6742-4dee-90c5-c1bdd7d0414b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8f7c3c4e-c50e-45e3-b5e4-0e36369ab784/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:3cd09f51-5ec4-4ba2-b2c6-e0d8509cb44e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:3cd09f51-5ec4-4ba2-b2c6-e0d8509cb44e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:3cd09f51-5ec4-4ba2-b2c6-e0d8509cb44e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:3cd09f51-5ec4-4ba2-b2c6-e0d8509cb44e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/other_constraints_maize_production[1]
other,None,Low,uuid:d2b31eaa-9886-447e-a4d0-9936245e7115/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:d2b31eaa-9886-447e-a4d0-9936245e7115/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:67e229e9-b75d-469d-a9b3-15b1d308d509/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:67e229e9-b75d-469d-a9b3-15b1d308d509/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/other_constraints_maize_production[1]
Other_pests,,High,uuid:c96ade61-adfe-4e2e-ac90-404988e70e56/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c96ade61-adfe-4e2e-ac90-404988e70e56/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:0a194703-9461-4200-a331-a360cf95675a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0a194703-9461-4200-a331-a360cf95675a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Medium,uuid:0a194703-9461-4200-a331-a360cf95675a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0a194703-9461-4200-a331-a360cf95675a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Shortage_of_rain,,Low,uuid:9f58b5ff-ef44-4cb2-8353-ef281cb7c4b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:9f58b5ff-ef44-4cb2-8353-ef281cb7c4b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Drought,,Medium,uuid:ac5da897-299a-4897-997a-036ef7a56b0d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ac5da897-299a-4897-997a-036ef7a56b0d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,High,uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Plant_diseases_,,Medium,uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:724da5aa-aab0-43da-9502-f95ccb8c415a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Other_pests,,Medium,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Shortage_of_rain,,Medium,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Soil_fertility_exhaustion_,,Medium,uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a0435873-bee0-4581-af28-5b743ac4b426/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[4]
Soil_fertility_exhaustion_,,High,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,High,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Shortage_of_rain,,Low,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Other_pests,,High,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Plant_diseases_,,Low,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Soil_fertility_exhaustion_,,High,uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:269f5244-0539-49d7-8bf5-cb24654149ae/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Drought,,High,uuid:23977ef8-020f-4fe6-b1dd-367790299f6e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:23977ef8-020f-4fe6-b1dd-367790299f6e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,Low,uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:3aed71f8-615e-4570-9b4d-044205c4ce55/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:3aed71f8-615e-4570-9b4d-044205c4ce55/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:2938fc1d-d083-4419-8164-220ee2d7dbcd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:2938fc1d-d083-4419-8164-220ee2d7dbcd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:2938fc1d-d083-4419-8164-220ee2d7dbcd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:2938fc1d-d083-4419-8164-220ee2d7dbcd/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,High,uuid:f20a0cde-6921-4cfc-9190-a09b348e60d2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f20a0cde-6921-4cfc-9190-a09b348e60d2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:8ab6100b-ab81-4016-9a01-e69d6a41ec8e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8ab6100b-ab81-4016-9a01-e69d6a41ec8e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Low,uuid:91ebebfd-528a-48cd-89f3-c7ce65d7374c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:91ebebfd-528a-48cd-89f3-c7ce65d7374c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:91042e5f-acf0-4f72-9d3e-1dc0122c1785/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:91042e5f-acf0-4f72-9d3e-1dc0122c1785/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,None,Low,uuid:1c912811-732d-40f9-8c3b-945efe269ef5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:1c912811-732d-40f9-8c3b-945efe269ef5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,High,uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:b3b48ada-36b2-4c1b-a59b-507f9cce56a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b3b48ada-36b2-4c1b-a59b-507f9cce56a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,Medium,uuid:bfa64993-2626-43ea-9de0-f2ff80e83467/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:bfa64993-2626-43ea-9de0-f2ff80e83467/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Medium,uuid:0fb487ff-88ea-4e37-a2db-c9462a2c0ae5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:0fb487ff-88ea-4e37-a2db-c9462a2c0ae5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Drought,,Medium,uuid:0fb487ff-88ea-4e37-a2db-c9462a2c0ae5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:0fb487ff-88ea-4e37-a2db-c9462a2c0ae5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:0fb487ff-88ea-4e37-a2db-c9462a2c0ae5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:0fb487ff-88ea-4e37-a2db-c9462a2c0ae5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[2]
Other_pests,,Medium,uuid:8b6c125a-5cd1-455e-b5e4-b8c7bc85f088/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:8b6c125a-5cd1-455e-b5e4-b8c7bc85f088/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
other,Thieves ,Medium,uuid:8b6c125a-5cd1-455e-b5e4-b8c7bc85f088/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:8b6c125a-5cd1-455e-b5e4-b8c7bc85f088/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[2]
Other_pests,,Low,uuid:8a2e2b8d-4b7e-4492-b829-7c7167bcae4c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8a2e2b8d-4b7e-4492-b829-7c7167bcae4c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Other_pests,,Low,uuid:9a2bb3af-05be-45f2-bf3b-a0ac1f0ed694/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:9a2bb3af-05be-45f2-bf3b-a0ac1f0ed694/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Shortage_of_rain,,Medium,uuid:9a2bb3af-05be-45f2-bf3b-a0ac1f0ed694/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:9a2bb3af-05be-45f2-bf3b-a0ac1f0ed694/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,Medium,uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[2]
Shortage_of_rain,,Medium,uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[3]
Shortage_of_rain,,Medium,uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Soil_fertility_exhaustion_,,High,uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[2]
Other_pests,,Medium,uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:88ce6a0e-ffbc-493c-90d0-38b0983a59fa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[3]
