three_other_constraints_for_tomato_production_Aug_Sept_2020,other_constraints_for_tomato_production_Aug_Sept_2020,level_of_severity_tomato_production_Aug_Sept_2020,PARENT_KEY,KEY
Shortage_of_rain,,Low,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,High,uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:6c58a45c-cd63-4bbc-a61a-04e7056a31a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[3]
Other_leaf_miners_Lirimyza_spec,,High,uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Soil_fertility_exhaustion_,,Medium,uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Cloudy,Medium,uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8714a2e5-9f27-4f34-acbb-e940af910a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[3]
other,Tomato wilt ,High,uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:67c52bae-54d7-48a0-9dd9-60834ed48252/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:8ab6100b-ab81-4016-9a01-e69d6a41ec8e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:8ab6100b-ab81-4016-9a01-e69d6a41ec8e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:090b90ee-6284-44d6-a991-e953ffca4e25/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:1c912811-732d-40f9-8c3b-945efe269ef5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:1c912811-732d-40f9-8c3b-945efe269ef5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ed16eab9-16f2-4df0-8052-54481ac657ed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,Medium,uuid:070eb28e-6b24-406f-93f0-59693e9ff69c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:070eb28e-6b24-406f-93f0-59693e9ff69c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:070eb28e-6b24-406f-93f0-59693e9ff69c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:070eb28e-6b24-406f-93f0-59693e9ff69c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
Aphids,,Low,uuid:8b6c125a-5cd1-455e-b5e4-b8c7bc85f088/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8b6c125a-5cd1-455e-b5e4-b8c7bc85f088/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Shortage_of_rain,,High,uuid:e54be10e-9363-49d3-9050-7cd4d21b6fe5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e54be10e-9363-49d3-9050-7cd4d21b6fe5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Tomato wilt,High,uuid:fba9859a-2d82-4e50-a132-c51423e92138/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:fba9859a-2d82-4e50-a132-c51423e92138/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Tomato wilt,High,uuid:a462c631-cc91-4c58-90c5-ff0d1b4d3aac/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a462c631-cc91-4c58-90c5-ff0d1b4d3aac/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:0338b47b-e685-4047-b210-cb2ff000db4c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:0338b47b-e685-4047-b210-cb2ff000db4c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Too_much_rain,,High,uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Tomato wilt,High,uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a94c4186-553f-42da-b7d5-a66cce3b0458/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Tomato wilt,High,uuid:c838e643-a3e0-4ef7-8487-33c1497a790f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c838e643-a3e0-4ef7-8487-33c1497a790f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Tomato wilt,High,uuid:c5042384-df41-497d-b113-6061d7c9dce1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c5042384-df41-497d-b113-6061d7c9dce1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Cut_worm,,High,uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:b02b0755-fc25-4a93-8ab5-0680976567a1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,High,uuid:e1b876cd-fbb8-4c2f-aafa-ff24ba6340d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:e1b876cd-fbb8-4c2f-aafa-ff24ba6340d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Cut_worm,,High,uuid:e1b876cd-fbb8-4c2f-aafa-ff24ba6340d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:e1b876cd-fbb8-4c2f-aafa-ff24ba6340d4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,High,uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ea229d4f-9ac3-4cf5-8b27-bcb72333a97c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,High,uuid:fc2c8191-ea53-4fcb-8b2a-7417de3dd844/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fc2c8191-ea53-4fcb-8b2a-7417de3dd844/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Cut_worm,,High,uuid:fc2c8191-ea53-4fcb-8b2a-7417de3dd844/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:fc2c8191-ea53-4fcb-8b2a-7417de3dd844/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
Drought,,High,uuid:399f5648-1717-4bd5-915d-d14945503c52/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:399f5648-1717-4bd5-915d-d14945503c52/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:b0a54d36-3d01-4011-8dc4-e6d2fcc8383e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:b0a54d36-3d01-4011-8dc4-e6d2fcc8383e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:fbdd77d7-1f73-4f36-8298-92e97bef54e5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:fbdd77d7-1f73-4f36-8298-92e97bef54e5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:3e002f74-407c-4805-be85-dddc1b48217a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:3e002f74-407c-4805-be85-dddc1b48217a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:3e002f74-407c-4805-be85-dddc1b48217a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:3e002f74-407c-4805-be85-dddc1b48217a/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,High,uuid:73223edc-2e98-4a5a-92a1-538259a03cb2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:73223edc-2e98-4a5a-92a1-538259a03cb2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:73223edc-2e98-4a5a-92a1-538259a03cb2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:73223edc-2e98-4a5a-92a1-538259a03cb2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Drought,,High,uuid:9ea35354-172a-4dff-b467-c2c1821ba56c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:9ea35354-172a-4dff-b467-c2c1821ba56c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Soil_fertility_exhaustion_,,High,uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:0ad8722b-76ec-4b04-bb8d-72f96b744be2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[2]
Drought,,High,uuid:1b699bb9-f89c-41ee-92fb-d24235bee633/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:1b699bb9-f89c-41ee-92fb-d24235bee633/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Leaf_eaters_,,Medium,uuid:501eb22c-da4d-4cdc-b1a1-d4b1ba8e6360/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:501eb22c-da4d-4cdc-b1a1-d4b1ba8e6360/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Other_leaf_miners_Lirimyza_spec,,High,uuid:501eb22c-da4d-4cdc-b1a1-d4b1ba8e6360/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:501eb22c-da4d-4cdc-b1a1-d4b1ba8e6360/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[2]
Soil_fertility_exhaustion_,,Medium,uuid:501eb22c-da4d-4cdc-b1a1-d4b1ba8e6360/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:501eb22c-da4d-4cdc-b1a1-d4b1ba8e6360/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[3]
Plant_diseases_,,Medium,uuid:173de4a3-5266-4140-87c1-6d88e2a47675/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:173de4a3-5266-4140-87c1-6d88e2a47675/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Cut_worm,,Medium,uuid:173de4a3-5266-4140-87c1-6d88e2a47675/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:173de4a3-5266-4140-87c1-6d88e2a47675/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Rotting of the fruit,Medium,uuid:b015ca0d-d4fe-4e14-a86c-31ff1b59d005/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b015ca0d-d4fe-4e14-a86c-31ff1b59d005/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,Medium,uuid:b015ca0d-d4fe-4e14-a86c-31ff1b59d005/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:b015ca0d-d4fe-4e14-a86c-31ff1b59d005/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Tomato wilt ,High,uuid:e3cdd302-612e-43f1-b314-d16ae0203559/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e3cdd302-612e-43f1-b314-d16ae0203559/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:41eb5bc0-3d94-4b77-a13e-c419df021e79/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:41eb5bc0-3d94-4b77-a13e-c419df021e79/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Tomato wilt,High,uuid:54729e38-076c-452b-9e7d-12d509dcf84b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:54729e38-076c-452b-9e7d-12d509dcf84b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Too_much_rain,,High,uuid:3806c404-49ee-4ea5-af32-6838eed8c5ea/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:3806c404-49ee-4ea5-af32-6838eed8c5ea/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:56d72e10-506c-4f35-9041-15c8b1bc1d7b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:56d72e10-506c-4f35-9041-15c8b1bc1d7b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Too_much_rain,,High,uuid:c2b9c147-bc78-407a-a3ec-9f8a53778b15/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c2b9c147-bc78-407a-a3ec-9f8a53778b15/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:aff99375-c659-4f5f-855c-4802570d8f51/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:aff99375-c659-4f5f-855c-4802570d8f51/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Ballworm,,Low,uuid:6a744ca6-83d9-4df7-91f9-77f28ec4a1b0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6a744ca6-83d9-4df7-91f9-77f28ec4a1b0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Aphids,,Low,uuid:6a744ca6-83d9-4df7-91f9-77f28ec4a1b0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6a744ca6-83d9-4df7-91f9-77f28ec4a1b0/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
Soil_fertility_exhaustion_,,High,uuid:ef1a949c-e26b-47c8-bc1d-d643d28a0aed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ef1a949c-e26b-47c8-bc1d-d643d28a0aed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,Medium,uuid:ef1a949c-e26b-47c8-bc1d-d643d28a0aed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ef1a949c-e26b-47c8-bc1d-d643d28a0aed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Shortage_of_rain,,Medium,uuid:ef1a949c-e26b-47c8-bc1d-d643d28a0aed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:ef1a949c-e26b-47c8-bc1d-d643d28a0aed/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[3]
Shortage_of_rain,,Medium,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Soil_fertility_exhaustion_,,Medium,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Thieves,Low,uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a2ae917f-d30a-49e3-9585-6412e77d8609/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[3]
Soil_fertility_exhaustion_,,Medium,uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Shortage_of_rain,,Medium,uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,Medium,uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e3ac3722-0ecf-402c-a02f-774b1837d753/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[3]
Plant_diseases_,,High,uuid:3e23f659-08b9-487b-8ccd-12c90ba9dfe5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:3e23f659-08b9-487b-8ccd-12c90ba9dfe5/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Drought,,High,uuid:64901c90-40ca-4005-afec-9d419590afe7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:64901c90-40ca-4005-afec-9d419590afe7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Fog and mist,High,uuid:142c0d75-4831-4a26-9d37-21ac828565c4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:142c0d75-4831-4a26-9d37-21ac828565c4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:41726afc-6d56-4cff-a79a-fc1586ae2342/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[4],uuid:41726afc-6d56-4cff-a79a-fc1586ae2342/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[4]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,None,Low,uuid:2106354c-c65e-4d7a-a6e7-086e8066fde2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[4],uuid:2106354c-c65e-4d7a-a6e7-086e8066fde2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[4]/constraints_for_tomato_production_Aug_Sept_2020[1]
Shortage_of_rain,,Medium,uuid:02f03a73-8df1-4a49-9c9a-e53e4b70d646/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:02f03a73-8df1-4a49-9c9a-e53e4b70d646/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:02f03a73-8df1-4a49-9c9a-e53e4b70d646/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:02f03a73-8df1-4a49-9c9a-e53e4b70d646/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Soil_fertility_exhaustion_,,High,uuid:02f03a73-8df1-4a49-9c9a-e53e4b70d646/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:02f03a73-8df1-4a49-9c9a-e53e4b70d646/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[3]
Cut_worm,,High,uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
Cut_worm,,High,uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[1]
Plant_diseases_,,High,uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3],uuid:5ca9fb80-aad8-4737-9cc7-e34c5fe336a7/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[3]/constraints_for_tomato_production_Aug_Sept_2020[2]
Plant_diseases_,,High,uuid:8bd1b7ec-6a0b-44b4-a4f4-65dc14a4082c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:8bd1b7ec-6a0b-44b4-a4f4-65dc14a4082c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
